sample_name,pH,sampabs,tot_zn_ppm,sampconc,Znads,Znadsper
B1,4.94,0.1137,3,1.816753153,1.183246847,39.44156156
B2,4.902,0.1283,,2.117153207,0.8828467933,29.42822644
B3,4.974,0.1267,,2.084232653,0.9157673471,30.52557824
B4,5.013,0.1304,,2.160361434,0.8396385665,27.98795222
B5,5.047,0.1201,,1.948435368,1.051564632,35.05215438
B6,5.1,0.1195,,1.936090161,1.063909839,35.46366131
1,4.54,0.1224,3,1.879289149,1.120710851,37.35702837
2,4.013,0.1434,,2.210316776,0.7896832236,26.32277412
3,3.849,0.1485,,2.2907092,0.7092907997,23.64302666
4,3.557,0.1497,,2.309625065,0.6903749353,23.01249784
5,3.353,0.158,,2.440459794,0.5595402062,18.65134021
6,3.191,0.1569,,2.423120251,0.5768797486,19.22932495
R1,3.4,0.0731,3,2.295336739,0.7046632615,23.48877538
R2,4.2,0.0673,,2.108115326,0.891884674,29.72948913
R3,4.9,0.0644,,2.01450462,0.9854953803,32.84984601
R4,6.34,0.0338,,1.026750271,1.973249729,65.77499097
R5,5.478,0.0505,,1.565818821,1.434181179,47.80603931
R6,3.202,0.0722,,2.26628514,0.73371486,24.457162
