sample_name,pH,sampabs,tot_zn_ppm,sampconc,Znads,Znadsper
1B,2.65,0.1332,3,2.62028269,0.3797173097,12.65724366
4B,4.77,0.1354,,2.662369546,0.3376304536,11.25434845
5B,6.52,0.11,,2.176457662,0.8235423382,27.45141127
6B,5.82,0.0344,,0.7302002413,2.269799759,75.65999196
7B,6.42,0.0525,,1.076460285,1.923539715,64.1179905
B8,7.88,0.03,3,0.4020570903,2.59794291,86.59809699
B9,5.87,0.069,,1.039587424,1.960412576,65.34708587
B10,5.94,0.131,,2.053097185,0.9469028148,31.56342716
B12,6.6,0.06,,0.8924650393,2.107534961,70.25116536
B13,4.74,0.131,,2.053097185,0.9469028148,31.56342716
B14,6.42,0.091,,1.39921992,1.60078008,53.359336
1,4.198,0.417,3,2.468,0.532,17.729
2,3.558,0.135,,2.265,0.735,24.505
3,4.614,0.126,,2.112,0.888,29.586
4,4.327,0.117,,1.96,1.04,34.667
5,3.975,0.134,,2.248,0.752,25.069
6,4.695,0.123,,2.062,0.938,31.28
7,4.377,0.123,,2.062,0.938,31.28
1,5.603,0.0772,,1.180092495,1.819907505,60.66358351
2,6.407,0.0281,,0.4050185122,2.594981488,86.49938293
3,6.3,0.0646,,0.9811936722,2.018806328,67.29354426
4,6.378,0.0302,,0.4381683159,2.561831684,85.39438947
5,6.23,0.0667,,1.014343476,1.985656524,66.1885508
6,6.039,0.0843,,1.292170402,1.707829598,56.92765325
7,6.75,0.0352,,0.51709642,2.48290358,82.76345267
LD1,7.039,0.035,,0.319936,2.680064,89.33546
LD2,6.954,0.046,,0.50334,2.49666,83.22199
LD3,6.848,0.048,,0.536687,2.463313,82.11044
LD4,6.491,0.045,,0.486667,2.513333,83.77776
LD5,6.461,0.074,,0.970188,2.029812,67.66041
LD6,6.895,0.056,,0.670072,2.329928,77.66428
LD7,7.291,0.031,,0.253244,2.746756,91.55855
B1,5.166,0.1289,3,2.137347859,0.8626521411,28.75507137
B2,4.463,0.1361,,2.278428974,0.7215710265,24.05236755
B3,4.97,0.1294,,2.147145159,0.8528548415,28.42849472
B4,6.154,0.0873,,1.32221253,1.67778747,55.926249
B5,5.42,0.0783,,1.145861137,1.854138863,61.80462877
B6,5.661,0.0785,,1.149780057,1.850219943,61.67399811
B7,5.847,0.0767,,1.114509778,1.885490222,62.84967406
1,6.704,0.0898,,1.489291741,1.510708259,50.35694197
2,8.2,-0.0091,,,,100
3,8.95,-0.0075,,,,100
4,8.068,-0.0078,,,,100
5,8.415,-0.0065,,,,100
6,8.072,0.1187,,2.015383196,0.9846168038,32.82056013
7,9.581,0.2444,,,,100
1,5.676,0.088,,1.275587,1.724413,57.48044
2,7.724,0.033,,0.417074,2.582926,86.09753
3,7.626,0.065,,0.916572,2.083428,69.44759
4,8.122,0.015,,0.136106,2.863894,95.46313
5,5.649,0.062,,0.869744,2.130256,71.00852
6,6.878,0.055,,0.760479,2.239521,74.6507
7,6.18,0.058,,0.807307,2.192693,73.08977
