sample_name,pH,sampabs,tot_zn_ppm,sampconc,Znads,Znadsper
Z1,4.623,0.14,3,2.26735313,0.73264687,24.42156233
Z2,6.07,0.051,,0.835046528,2.164953472,72.16511572
Z3,6.165,0.076,,1.237379844,1.762620156,58.75400522
Z4,5.824,0.112,,1.816739817,1.183260183,39.44200609
Z5,5.79,0.103,,1.671899824,1.328100176,44.27000587
Z6,6.378,0.063,,1.02816652,1.97183348,65.72778268
Z7,6.947,0.048,,0.786766531,2.213233469,73.77444898
Z8,7.196,0.021,,0.35224655,2.64775345,88.25844832
Z9,6.668,0.077,,1.253473176,1.746526824,58.2175608
10Cit,3.277,0.1598,,2.569503371,0.430496629,14.34988763
11Cit,2.535,0.1596,,2.566186462,0.433813538,14.46045126
12Cit,3.714,0.1346,,2.151572853,0.848427147,28.28090488
13Cit,5.09,0.1035,,1.635793524,1.364206476,45.4735492
14Cit,5.433,0.1317,,2.103477675,0.896522325,29.88407751
15Cit,4.379,0.1501,,2.408633291,0.591366709,19.71222364
16Cit,5.425,0.116,,1.843100328,1.156899672,38.56332238
17Cit,3.424,0.1485,,2.38209802,0.61790198,20.59673267
18Cit,3.035,0.1397,,2.23615403,0.76384597,25.46153234
19Cit,7.754,0.0302,,0.420146423,2.579853577,85.99511924
20Cit,7.962,0.0313,,0.438389422,2.561610578,85.38701928
21Cit,6.913,0.0622,,0.950851842,2.049148158,68.30493859
22Cit,7.765,0.0409,,0.597601048,2.402398952,80.07996508
c23,6.643,0.082,,2.253775029,0.746224971,24.8741657
c24,6.519,0.076,,2.100285041,0.899714959,29.99049864
c25,7.86,0.046,,1.332835099,1.667164901,55.57216336
c26,7.808,0.034,,1.025855123,1.974144877,65.80482925
c27,7.321,0.034,,1.025855123,1.974144877,65.80482925
c28,7.926,0.021,,0.693293481,2.306706519,76.89021729
c33,7.03,0.02,,0.667711816,2.332288184,77.74293945
c35,7.27,0.034,,1.025855123,1.974144877,65.80482925
c36,7.72,0.022,,0.718875146,2.281124854,76.03749514
