sample_name,pH,sampabs,tot_zn_ppm,sampconc,Znads,Znadsper
Z1,4.862,0.1356,3,2.181449176,0.818550824,27.28502746
Z2,6.248,0.0525,,0.907572758,2.092427242,69.74757474
Z4,5.552,0.0202,,0.412431863,2.587568137,86.25227122
Z5,8.93,0.0761,,1.269347529,1.730652471,57.6884157
Z6,7.96,0.0585,,0.999549394,2.000450606,66.68168685
Z7,5.088,0.1362,,2.19064684,0.80935316,26.97843867
Z8,6.066,0.0525,,0.907572758,2.092427242,69.74757474
Z9,7.55,0.0639,,1.082328368,1.917671632,63.92238775
A10,5.472,0.1195,,1.962822937,1.037177063,34.57256878
A11,5.877,0.1163,,1.913949895,1.086050105,36.20167016
A12,7.05,0.0805,,1.367182744,1.632817256,54.42724186
A13,5.842,0.1051,,1.74289425,1.25710575,41.90352499
A14,4.251,0.1547,,2.500426392,0.499573608,16.65245359
A15,6.373,0.0754,,1.289291334,1.710708666,57.02362219
A16,7,0.059,,1.038816997,1.961183003,65.37276676
A17,6.075,0.06,,1.054089823,1.945910177,64.86367258
A18,6.558,0.0507,,0.912052546,2.087947454,69.59824847
P1,7.79,0.0479,,0.869288635,2.130711365,71.02371218
P2,7.22,0.0656,,1.139617645,1.860382355,62.01274517
P3,9.34,0.0301,,0.597432342,2.402567658,80.08558861
P4,7.07,0.0649,,1.128926667,1.871073333,62.36911109
P5,9.333,0.0119,,0.319466919,2.680533081,89.35110272
P6,8.1,0.016,,0.382085503,2.617914497,87.26381657
P7,7.03,0.0567,,1.003689499,1.996310501,66.54368338
P9,7.38,0.0159,,0.38055822,2.61944178,87.31472599
P11,4.15,0.1722,,2.767700838,0.232299162,7.743305411
P12,3.01,0.1603,,2.585954215,0.414045785,13.80152617
P13,3.62,0.1643,,2.647045517,0.352954483,11.76514945
P14,3.43,0.1563,,2.524862913,0.475137087,15.8379029
P15,4.56,0.1473,,2.387407484,0.612592516,20.41975053
P16,5.06,0.1509,,2.442389656,0.557610344,18.58701148
P17,3.63,0.16,,2.581372367,0.418627633,13.95425443
