Volume (ml),pH,sampvol
0.000,10.783,52.657
0.066,10.768,
0.094,10.752,
0.119,10.737,
0.144,10.718,
0.171,10.703,
0.189,10.687,
0.211,10.667,
0.231,10.650,
0.254,10.633,
0.276,10.616,
0.293,10.601,
0.308,10.585,
0.331,10.569,
0.348,10.553,
0.368,10.536,
0.383,10.520,
0.401,10.504,
0.418,10.488,
0.435,10.469,
0.455,10.453,
0.470,10.437,
0.488,10.420,
0.503,10.404,
0.518,10.388,
0.538,10.369,
0.553,10.353,
0.568,10.338,
0.583,10.321,
0.600,10.304,
0.615,10.289,
0.630,10.274,
0.643,10.257,
0.660,10.240,
0.670,10.225,
0.687,10.207,
0.702,10.189,
0.715,10.173,
0.730,10.156,
0.742,10.140,
0.757,10.124,
0.770,10.106,
0.785,10.090,
0.797,10.073,
0.812,10.053,
0.822,10.037,
0.837,10.020,
0.847,10.004,
0.860,9.986,
0.870,9.970,
0.882,9.953,
0.894,9.934,
0.904,9.918,
0.914,9.901,
0.927,9.883,
0.937,9.864,
0.947,9.849,
0.957,9.833,
0.967,9.815,
0.977,9.796,
0.984,9.781,
0.994,9.764,
1.000,9.684,
1.032,9.663,
1.042,9.648,
1.052,9.629,
1.062,9.609,
1.072,9.589,
1.080,9.572,
1.087,9.555,
1.095,9.538,
1.102,9.517,
1.110,9.498,
1.117,9.478,
1.125,9.459,
1.130,9.442,
1.137,9.419,
1.144,9.398,
1.149,9.380,
1.157,9.358,
1.162,9.341,
1.167,9.323,
1.172,9.306,
1.177,9.288,
1.182,9.268,
1.187,9.252,
1.192,9.230,
1.197,9.211,
1.202,9.191,
1.207,9.172,
1.212,9.150,
1.217,9.125,
1.222,9.103,
1.227,9.080,
1.232,9.056,
1.237,9.031,
1.242,9.006,
1.247,8.978,
1.252,8.951,
1.257,8.921,
1.262,8.891,
1.267,8.862,
1.269,8.845,
1.274,8.812,
1.277,8.797,
1.279,8.780,
1.282,8.763,
1.284,8.745,
1.287,8.727,
1.292,8.692,
1.294,8.677,
1.297,8.658,
1.299,8.641,
1.302,8.622,
1.304,8.602,
1.307,8.583,
1.309,8.563,
1.312,8.543,
1.314,8.523,
1.317,8.502,
1.319,8.483,
1.322,8.462,
1.324,8.444,
1.327,8.425,
1.329,8.407,
1.332,8.389,
1.334,8.372,
1.337,8.354,
1.339,8.336,
1.344,8.303,
1.347,8.288,
1.349,8.272,
1.354,8.245,
1.359,8.217,
1.364,8.194,
1.369,8.168,
1.374,8.139,
1.379,8.118,
1.384,8.096,
1.389,8.073,
1.394,8.053,
1.399,8.033,
1.404,8.014,
1.409,7.996,
1.414,7.979,
1.419,7.960,
1.424,7.942,
1.429,7.923,
1.434,7.907,
1.439,7.890,
1.444,7.873,
1.449,7.853,
1.456,7.834,
1.461,7.816,
1.466,7.801,
1.474,7.779,
1.479,7.762,
1.486,7.741,
1.494,7.718,
1.501,7.696,
1.509,7.674,
1.516,7.655,
1.524,7.637,
1.531,7.615,
1.539,7.594,
1.546,7.574,
1.554,7.554,
1.561,7.535,
1.569,7.514,
1.576,7.493,
1.584,7.473,
1.591,7.457,
1.598,7.435,
1.606,7.417,
1.613,7.401,
1.621,7.382,
1.629,7.364,
1.633,7.348,
1.641,7.329,
1.648,7.313,
1.656,7.293,
1.663,7.278,
1.671,7.259,
1.678,7.240,
1.686,7.222,
1.693,7.197,
1.703,7.178,
1.710,7.160,
1.717,7.144,
1.724,7.126,
1.734,7.104,
1.741,7.087,
1.748,7.071,
1.755,7.053,
1.762,7.035,
1.769,7.017,
1.776,7.002,
1.783,6.986,
1.790,6.966,
1.797,6.949,
1.803,6.932,
1.812,6.914,
1.817,6.897,
1.826,6.879,
1.835,6.862,
1.844,6.841,
1.850,6.821,
1.859,6.803,
1.868,6.786,
1.874,6.770,
1.881,6.753,
1.887,6.737,
1.896,6.721,
1.904,6.705,
1.911,6.687,
1.919,6.671,
1.927,6.655,
1.936,6.637,
1.944,6.620,
1.952,6.602,
1.965,6.581,
1.975,6.563,
1.983,6.546,
1.991,6.527,
1.997,6.512,
2.000,6.416,
2.035,6.401,
2.054,6.381,
2.069,6.366,
2.085,6.351,
2.096,6.334,
2.111,6.316,
2.121,6.299,
2.132,6.283,
2.147,6.262,
2.158,6.246,
2.169,6.228,
2.181,6.211,
2.191,6.195,
2.199,6.180,
2.207,6.162,
2.221,6.144,
2.235,6.127,
2.242,6.108,
2.254,6.089,
2.263,6.069,
2.273,6.050,
2.284,6.035,
2.296,6.018,
2.304,5.998,
2.312,5.981,
2.322,5.965,
2.327,5.949,
2.336,5.933,
2.341,5.916,
2.350,5.899,
2.358,5.883,
2.363,5.863,
2.371,5.844,
2.378,5.826,
2.387,5.809,
2.392,5.792,
2.396,5.777,
2.403,5.760,
2.410,5.743,
2.416,5.723,
2.424,5.705,
2.428,5.687,
2.434,5.668,
2.439,5.648,
2.444,5.626,
2.449,5.609,
2.456,5.581,
2.460,5.558,
2.464,5.543,
2.471,5.521,
2.476,5.499,
2.480,5.479,
2.485,5.454,
2.489,5.438,
2.492,5.419,
2.494,5.393,
2.498,5.372,
2.505,5.352,
2.506,5.333,
2.509,5.309,
2.511,5.291,
2.516,5.268,
2.519,5.248,
2.525,5.216,
2.526,5.194,
2.528,5.179,
2.529,5.162,
2.533,5.128,
2.535,5.100,
2.540,5.069,
2.542,5.043,
2.544,5.028,
2.546,5.008,
2.547,4.990,
2.549,4.956,
2.552,4.933,
2.553,4.917,
2.555,4.902,
2.556,4.886,
2.559,4.854,
2.561,4.837,
2.563,4.806,
2.565,4.779,
2.567,4.753,
2.568,4.735,
2.570,4.704,
2.573,4.673,
2.575,4.648,
2.576,4.633,
2.577,4.614,
2.579,4.593,
2.581,4.563,
2.583,4.533,
2.585,4.495,
2.587,4.474,
2.589,4.447,
2.591,4.421,
2.593,4.400,
2.595,4.380,
2.597,4.362,
2.599,4.331,
2.600,4.313,
2.602,4.284,
2.605,4.259,
2.606,4.238,
2.609,4.215,
2.611,4.194,
2.613,4.173,
2.615,4.155,
2.618,4.137,
2.620,4.114,
2.621,4.097,
2.624,4.074,
2.627,4.053,
2.630,4.034,
2.633,4.011,
2.636,3.993,
