Volume (ml),pH,sampvol
0.000,10.445,56.091
0.007,10.424,
0.017,10.405,
0.028,10.382,
0.031,10.364,
0.056,10.346,
0.067,10.332,
0.070,10.316,
0.079,10.239,
0.080,10.260,
0.083,10.279,
0.103,10.263,
0.112,10.222,
0.113,10.245,
0.125,10.227,
0.131,10.212,
0.140,10.199,
0.148,10.179,
0.158,10.165,
0.165,10.152,
0.171,10.136,
0.182,10.120,
0.186,10.097,
0.192,10.082,
0.198,10.067,
0.216,10.047,
0.227,10.031,
0.231,10.017,
0.233,9.999,
0.245,9.972,
0.263,9.957,
0.267,9.939,
0.273,9.920,
0.282,9.906,
0.293,9.882,
0.300,9.868,
0.304,9.850,
0.310,9.832,
0.315,9.817,
0.319,9.797,
0.324,9.775,
0.334,9.755,
0.340,9.738,
0.354,9.716,
0.361,9.691,
0.364,9.674,
0.367,9.657,
0.370,9.616,
0.373,9.629,
0.381,9.603,
0.390,9.585,
0.393,9.565,
0.400,9.547,
0.408,9.529,
0.411,9.514,
0.414,9.482,
0.418,9.465,
0.421,9.449,
0.430,9.434,
0.436,9.421,
0.438,9.394,
0.442,9.348,
0.454,9.328,
0.458,9.313,
0.461,9.298,
0.464,9.271,
0.467,9.227,
0.470,9.210,
0.479,9.176,
0.482,9.160,
0.484,9.119,
0.490,9.096,
0.494,9.082,
0.497,9.037,
0.499,9.019,
0.503,9.003,
0.506,8.987,
0.509,8.937,
0.511,8.918,
0.515,8.903,
0.517,8.858,
0.518,8.834,
0.524,8.815,
0.527,8.799,
0.530,8.763,
0.532,8.732,
0.535,8.713,
0.536,8.625,
0.538,8.602,
0.539,8.574,
0.542,8.552,
0.547,8.538,
0.548,8.524,
0.551,8.494,
0.554,8.472,
0.556,8.431,
0.557,8.407,
0.559,8.388,
0.560,8.363,
0.563,8.319,
0.565,8.292,
0.566,8.272,
0.569,8.254,
0.571,8.207,
0.572,8.189,
0.574,8.155,
0.575,8.135,
0.577,8.117,
0.578,8.098,
0.580,8.085,
0.581,8.058,
0.583,8.037,
0.584,8.017,
0.587,7.989,
0.588,7.961,
0.590,7.940,
0.592,7.889,
0.593,7.809,
0.594,7.774,
0.598,7.753,
0.600,7.721,
0.602,7.691,
0.603,7.660,
0.605,7.646,
0.606,7.631,
0.608,7.612,
0.609,7.589,
0.612,7.569,
0.614,7.552,
0.617,7.532,
0.620,7.497,
0.623,7.479,
0.626,7.464,
0.630,7.434,
0.632,7.416,
0.633,7.392,
0.635,7.374,
0.638,7.334,
0.639,7.303,
0.641,7.285,
0.642,7.263,
0.645,7.227,
0.647,7.199,
0.650,7.184,
0.653,7.153,
0.657,7.135,
0.660,7.121,
0.665,7.107,
0.666,6.996,
0.669,6.937,
0.672,6.923,
0.675,6.902,
0.680,6.889,
0.681,6.871,
0.689,6.885,
0.692,6.854,
0.695,6.821,
0.699,6.777,
0.702,6.749,
0.707,6.763,
0.714,6.744,
0.717,6.725,
0.720,6.708,
0.722,6.676,
0.723,6.652,
0.731,6.624,
0.732,6.610,
0.735,6.577,
0.737,6.550,
0.739,6.526,
0.745,6.484,
0.747,6.461,
0.751,6.428,
0.753,6.391,
0.758,6.374,
0.759,6.399,
0.762,6.325,
0.768,6.343,
0.771,6.370,
0.772,6.329,
0.774,6.311,
0.778,6.186,
0.780,6.129,
0.781,6.176,
0.783,6.194,
0.786,6.175,
0.787,6.189,
0.790,6.203,
0.795,6.031,
0.796,6.100,
0.798,6.140,
0.799,6.169,
0.802,6.184,
0.805,6.198,
0.807,6.156,
0.810,6.169,
0.811,6.093,
0.813,6.115,
0.825,6.077,
0.831,6.056,
0.832,6.075,
0.834,6.061,
0.835,6.045,
0.838,6.061,
0.840,6.043,
0.841,6.022,
0.843,5.975,
0.846,5.943,
0.849,5.966,
0.850,5.984,
0.855,6.000,
0.858,5.959,
0.861,5.976,
0.865,5.943,
0.867,5.928,
0.871,5.904,
0.873,5.880,
0.874,5.866,
0.876,5.892,
0.877,5.822,
0.880,5.842,
0.883,5.810,
0.892,5.795,
0.893,5.830,
0.895,5.848,
0.896,5.785,
0.899,5.680,
0.901,5.725,
0.903,5.751,
0.904,5.772,
0.911,5.733,
0.914,5.760,
0.916,5.742,
0.922,5.709,
0.923,5.741,
0.925,5.764,
0.926,5.780,
0.928,5.672,
0.929,5.606,
0.931,5.623,
0.932,5.603,
0.934,5.650,
0.935,5.607,
0.938,5.570,
0.940,5.612,
0.941,5.649,
0.943,5.619,
0.944,5.591,
0.947,5.619,
0.952,5.636,
0.953,5.559,
0.955,5.582,
0.956,5.618,
0.962,5.647,
0.964,5.621,
0.965,5.578,
0.968,5.506,
0.970,5.480,
0.971,5.467,
0.973,5.507,
0.974,5.441,
0.976,5.362,
0.977,5.430,
0.980,5.457,
0.985,5.402,
0.986,5.421,
0.989,5.403,
0.991,5.442,
0.992,5.274,
0.994,5.353,
0.995,5.405,
0.997,5.429,
1.000,5.878,
1.004,5.853,
1.006,5.783,
1.007,5.732,
1.009,5.701,
1.010,5.577,
1.013,5.551,
1.018,5.505,
1.019,5.487,
1.024,5.430,
1.027,5.410,
1.030,5.390,
1.031,5.316,
1.034,5.351,
1.037,5.310,
1.039,5.290,
1.040,5.314,
1.042,5.359,
1.043,5.386,
1.045,5.275,
1.046,5.249,
1.048,5.266,
1.049,5.290,
1.051,5.263,
1.052,5.229,
1.054,5.210,
1.055,5.183,
1.057,5.162,
1.058,5.195,
1.060,5.208,
1.061,5.169,
1.066,5.214,
1.067,5.249,
1.069,5.281,
1.070,5.268,
