sample_name,pH,sampabs,tot_zn_ppm,sampconc,Znads,Znadsper
,7.177,0.082,5,1.252097535,3.747902465,74.9580493
,7.62,0.055,,0.810730381,4.189269619,83.78539238
,6.93,0.037,,0.516485612,4.483514388,89.67028776
,8.01,0.034,,0.467444817,4.532555183,90.65110366
,7.16,0.009,,0.058771526,4.941228474,98.82456948
,7.2,0.07,,1.055934356,3.944065644,78.88131289
,7.33,0.001,,0.091245243,4.908754757,98.17509513
,7.1,0.0003,,0.077853971,4.922146029,98.44292058
,9.66,-0.001,,0.052984465,4.947015535,98.9403107
,7.5,-0.0158,,,,100
,8.1,-0.0203,,,,100
,9.27,-0.0273,,,,100
,7.955,0.0596,,0.779442131,4.220557869,84.41115738
,6.44,0.0719,,1.020455702,3.979544298,79.59088597
,7.706,0.0652,,0.889171887,4.110828113,82.21656227
,7.44,0.0409,,0.413023125,4.586976875,91.7395375
,7.511,0.0421,,0.436536644,4.563463356,91.26926712
,7.486,0.073,,1.041447,3.958553,79.17106
,7.326,0.062,,0.869744,4.130256,82.60511
,7.325,0.054,,0.74487,4.25513,85.10261
,7.949,0.038,,0.495121,4.504879,90.09759
,6.542,0.118,,1.743866,3.256134,65.12267
,5.624,0.141,,2.102881,2.897119,57.94239
,7.025,0.0908,,1.507495598,1.492504402,49.75014675
,6.881,0.1059,,1.782373832,1.217626168,40.58753893
,6.26,0.1574,,2.719872446,0.280127554,9.337851378
,6.462,0.1642,,2.843658671,0.156341329,5.211377646
,7.115,0.1238,,2.108222865,0.891777135,29.72590451
,7.58,0.1508,,2.599726992,0.400273008,13.34243359
,6.53,0.072,,0.936842,4.063158,81.26317
,6.526,0.105,,1.487055,3.512945,70.25891
,7.227,0.032,,0.269917,4.730083,94.60167
,7.263,0.034,,0.303263,4.696737,93.93474
,6.772,0.122,,1.770498,3.229502,64.59005
,6.819,0.094,,1.30365,3.69635,73.92699
,7.195,0.076,,1.266,1.734,57.82
,6.949,0.126,,2.112,0.888,29.59
,6.871,0.113,,1.892,1.108,36.93
,7.457,0.031,,0.503,2.497,83.22
,7.092,0.029,,0.469,2.531,84.35
,6.949,0.053,,0.876,2.124,70.8
,6.8,0.0442,5,0.659167007,4.340832993,86.81665985
,6.87,0.0351,,0.515517858,4.484482142,89.68964284
,6.66,0.0669,,1.0175006,3.9824994,79.649988
,6.63,0.0758,,1.157992625,3.842007375,76.84014749
,6.16,0.1118,,1.726274975,3.273725025,65.4745005
,6.39,0.0858,,1.315848834,3.684151166,73.68302333
