Volume (ml),pH,sampvol
0.02,8.333,50.521
0.04,8.107,
0.06,7.848,
0.08,7.679,
0.1,7.564,
0.12,7.474,
0.14,7.4,
0.16,7.328,
0.18,7.257,
0.2,7.188,
0.22,7.126,
0.24,7.07,
0.26,7.015,
0.28,6.971,
0.3,6.929,
0.32,6.884,
0.34,6.844,
0.36,6.813,
0.38,6.754,
0.4,6.753,
0.42,6.716,
0.44,6.681,
0.46,6.648,
0.48,6.612,
0.5,6.58,
0.52,6.548,
0.54,6.515,
0.56,6.486,
0.58,6.454,
0.6,6.43,
0.62,6.397,
0.64,6.383,
0.66,6.349,
0.68,6.317,
0.7000000000000001,6.283,
0.72,6.244,
0.74,6.215,
0.76,6.177,
0.78,6.137,
0.8,6.097,
0.8200000000000001,6.06,
0.84,6.018,
0.86,5.979,
0.88,5.95,
0.9,5.921,
0.92,5.869,
0.9400000000000001,5.812,
0.96,5.751,
0.98,5.68,
1.0,5.601,
1.02,5.514,
1.04,5.404,
1.06,5.269,
1.08,5.106,
1.1,4.871,
1.12,4.628,
1.1400000000000001,4.492,
1.16,4.381,
1.18,4.216,
1.2,4.092,
1.22,3.992,
1.24,3.915,
1.26,3.847,
1.28,3.786,
1.3,3.734,
1.32,3.69,
1.34,3.651,
1.36,3.616,
1.3800000000000001,3.595,
1.4000000000000001,3.572,
1.42,3.544,
1.44,3.515,
1.46,3.486,
1.48,3.459,
1.5,3.435,
1.52,3.41,
1.54,3.391,
1.56,3.37,
