Volume (ml),pH,sampvol
0.02,8.752,51.888
0.04,8.418,
0.06,8.215,
0.08,8.059,
0.1,7.94,
0.12,7.849,
0.14,7.759,
0.16,7.661,
0.18,7.57,
0.2,7.494,
0.22,7.422,
0.24,7.342,
0.26,7.264,
0.28,7.196,
0.3,7.129,
0.32,7.062,
0.34,6.987,
0.36,6.911,
0.38,6.854,
0.4,6.79,
0.42,6.715,
0.44,6.655,
0.46,6.588,
0.48,6.518,
0.5,6.445,
0.52,6.378,
0.54,6.29,
0.56,6.214,
0.58,6.167,
0.6,6.081,
0.62,6.0,
0.64,5.922,
0.66,5.833,
0.68,5.72,
0.7000000000000001,5.593,
0.72,5.42,
0.74,5.193,
0.76,4.88,
0.78,4.545,
0.8,4.306,
0.8200000000000001,4.128,
0.84,4.045,
0.86,3.955,
0.88,3.863,
0.9,3.779,
0.92,3.719,
0.9400000000000001,3.604,
0.96,3.607,
0.98,3.561,
1.0,3.515,
1.02,3.472,
1.04,3.447,
1.06,3.411,
1.08,3.387,
1.1,3.366,
1.12,3.344,
1.1400000000000001,3.319,
