Volume (ml),pH,sampvol
0.0,10.616,50.47
0.02,10.655,
0.04,10.586,
0.06,10.510,
0.08,10.436,
0.1,10.367,
0.12,10.303,
0.14,10.240,
0.16,10.183,
0.18,10.124,
0.2,10.069,
0.22,10.013,
0.24,9.954,
0.26,9.898,
0.28,9.842,
0.3,9.784,
0.32,9.721,
0.34,9.659,
0.36,9.591,
0.38,9.518,
0.4,9.435,
0.42,9.348,
0.44,9.250,
0.46,9.131,
0.48,8.993,
0.5,8.805,
0.52,8.562,
0.54,8.201,
0.56,7.742,
0.58,7.446,
0.6,7.270,
0.62,7.164,
0.64,7.059,
0.66,6.961,
0.68,6.878,
0.7000000000000001,6.805,
0.72,6.733,
0.74,6.664,
0.76,6.609,
0.78,6.552,
0.8,6.504,
0.8200000000000001,6.454,
0.84,6.396,
0.86,6.319,
0.88,6.295,
0.9,6.262,
0.92,6.222,
0.9400000000000001,6.165,
0.96,6.112,
0.98,6.074,
1.0,6.014,
1.02,5.948,
1.04,5.897,
1.06,5.881,
1.08,5.835,
1.1,5.754,
1.12,5.685,
1.1400000000000001,5.610,
1.16,5.554,
1.18,5.485,
1.2,5.398,
1.22,5.258,
1.24,5.143,
1.26,4.907,
1.28,4.625,
1.3,4.348,
1.32,4.111,
1.34,3.948,
1.36,3.833,
1.3800000000000001,3.745,
1.4000000000000001,3.678,
1.42,3.624,
