Volume (ml),pH,sampvol
0.0,9.838,44.846
0.015,9.970,
0.03,9.858,
0.045,9.732,
0.06,9.591,
0.075,9.396,
0.09,9.123,
0.105,8.712,
0.12,8.127,
0.135,7.725,
0.15,7.428,
0.16499999999999998,7.174,
0.18,6.920,
0.195,6.675,
0.21,6.547,
0.22499999999999998,6.452,
0.24,6.325,
0.255,6.219,
0.27,6.082,
0.285,5.905,
0.3,5.680,
0.315,5.359,
0.32999999999999996,4.883,
0.345,4.496,
0.36,4.263,
0.375,4.108,
0.39,3.990,
0.40499999999999997,3.899,
0.42,3.822,
0.435,3.761,
0.44999999999999996,3.700,
0.46499999999999997,3.655,
0.48,3.604,
0.495,3.562,
0.51,3.525,
0.525,3.493,
0.54,3.463,
0.5549999999999999,3.428,
0.57,3.409,
0.585,3.394,
0.6,3.367,
0.615,3.351,
