Volume (ml),pH,sampvol
0.0,10.311,9.137
0.02,10.378,
0.04,10.252,
0.06,10.192,
0.08,10.128,
0.1,10.059,
0.12,9.976,
0.14,9.889,
0.16,9.785,
0.18,9.665,
0.2,9.513,
0.22,9.311,
0.24,9.003,
0.26,8.499,
0.28,7.950,
0.3,7.518,
0.32,7.229,
0.34,6.922,
0.36,6.759,
0.38,6.560,
0.4,6.443,
0.42,6.279,
0.44,6.144,
0.46,6.002,
0.48,5.826,
0.5,5.617,
0.52,5.298,
0.54,4.812,
0.56,4.399,
0.58,4.133,
0.6,3.972,
0.62,3.845,
0.64,3.760,
0.66,3.685,
0.68,3.621,
0.7000000000000001,3.564,
0.72,3.512,
0.74,3.473,
0.76,3.428,
0.78,3.398,
0.8,3.360,
