Volume (ml),pH,sampvol
0.0,6.768,48.551
0.015,6.771,
0.03,6.731,
0.045,6.701,
0.06,6.674,
0.075,6.647,
0.09,6.617,
0.105,6.590,
0.12,6.555,
0.135,6.539,
0.15,6.513,
0.16499999999999998,6.491,
0.18,6.458,
0.195,6.437,
0.21,6.411,
0.22499999999999998,6.382,
0.24,6.348,
0.255,6.317,
0.27,6.288,
0.285,6.252,
0.3,6.221,
0.315,6.188,
0.32999999999999996,6.153,
0.345,6.120,
0.36,6.080,
0.375,6.039,
0.39,5.997,
0.40499999999999997,5.955,
0.42,5.910,
0.435,5.855,
0.44999999999999996,5.803,
0.46499999999999997,5.744,
0.48,5.685,
0.495,5.618,
0.51,5.554,
0.525,5.481,
0.54,5.408,
0.5549999999999999,5.312,
0.57,5.210,
0.585,5.107,
0.6,4.947,
0.615,4.794,
0.63,4.655,
0.645,4.517,
0.6599999999999999,4.393,
0.6749999999999999,4.283,
0.69,4.183,
0.705,4.095,
0.72,4.022,
0.735,3.952,
0.75,3.885,
0.765,3.837,
0.78,3.780,
0.7949999999999999,3.743,
0.8099999999999999,3.698,
0.825,3.655,
0.84,3.620,
0.855,3.594,
0.87,3.566,
0.885,3.548,
0.8999999999999999,3.514,
