Volume (ml),pH,sampvol
0.0,6.574,47.042
0.015,6.646,
0.03,6.690,
0.045,6.706,
0.06,6.694,
0.075,6.670,
0.09,6.642,
0.105,6.616,
0.12,6.579,
0.135,6.525,
0.15,6.501,
0.16499999999999998,6.468,
0.18,6.433,
0.195,6.388,
0.21,6.349,
0.22499999999999998,6.317,
0.24,6.277,
0.255,6.216,
0.27,6.188,
0.285,6.146,
0.3,6.104,
0.315,6.037,
0.32999999999999996,5.967,
0.345,5.962,
0.36,5.903,
0.375,5.843,
0.39,5.771,
0.40499999999999997,5.752,
0.42,5.700,
0.435,5.626,
0.44999999999999996,5.533,
0.46499999999999997,5.434,
0.48,5.318,
0.495,5.180,
0.51,5.017,
0.525,4.835,
0.54,4.645,
0.5549999999999999,4.471,
0.57,4.327,
0.585,4.199,
0.6,4.096,
0.615,4.029,
0.63,3.957,
0.645,3.899,
0.6599999999999999,3.842,
0.6749999999999999,3.786,
0.69,3.733,
0.705,3.686,
0.72,3.642,
0.735,3.605,
0.75,3.566,
0.765,3.534,
0.78,3.507,
