Volume (ml),pH,sampvol
0.0,6.926,54.023
0.02,6.855,
0.04,6.793,
0.06,6.736,
0.08,6.680,
0.1,6.623,
0.12,6.569,
0.14,6.513,
0.16,6.457,
0.18,6.407,
0.2,6.354,
0.22,6.295,
0.24,6.232,
0.26,6.183,
0.28,6.125,
0.3,6.067,
0.32,6.011,
0.34,5.949,
0.36,5.886,
0.38,5.820,
0.4,5.734,
0.42,5.635,
0.44,5.567,
0.46,5.481,
0.48,5.362,
0.5,5.257,
0.52,5.125,
0.54,4.976,
0.56,4.828,
0.58,4.662,
0.6,4.494,
0.62,4.340,
0.64,4.218,
0.66,4.113,
0.68,4.015,
0.7000000000000001,3.927,
0.72,3.852,
0.74,3.790,
0.76,3.729,
0.78,3.677,
0.8,3.631,
