Volume (ml),pH,sampvol
0.02,7.238,51.081
0.04,7.183,
0.06,7.129,
0.08,7.075,
0.1,7.031,
0.12,6.996,
0.14,6.959,
0.16,6.916,
0.18,6.877,
0.2,6.836,
0.22,6.797,
0.24,6.761,
0.26,6.726,
0.28,6.69,
0.3,6.667,
0.32,6.626,
0.34,6.605,
0.36,6.572,
0.38,6.546,
0.4,6.519,
0.42,6.485,
0.44,6.454,
0.46,6.422,
0.48,6.39,
0.5,6.355,
0.52,6.325,
0.54,6.296,
0.56,6.269,
0.58,6.24,
0.6,6.215,
0.62,6.178,
0.64,6.141,
0.66,6.101,
0.68,6.084,
0.7000000000000001,6.044,
0.72,6.003,
0.74,5.957,
0.76,5.914,
0.78,5.866,
0.8,5.818,
0.8200000000000001,5.763,
0.84,5.71,
0.86,5.684,
0.88,5.629,
0.9,5.567,
0.92,5.482,
0.9400000000000001,5.382,
0.96,5.26,
0.98,5.113,
1.0,4.924,
1.02,4.691,
1.04,4.453,
1.06,4.254,
1.08,4.111,
1.1,4.018,
1.12,3.912,
1.1400000000000001,3.845,
1.16,3.766,
1.18,3.695,
1.2,3.632,
1.22,3.578,
1.24,3.525,
1.26,3.481,
1.28,3.438,
1.3,3.403,
1.32,3.367,
1.34,3.341,
