Volume (ml),pH,sampvol
0.02,7.365,54.063
0.04,7.365,
0.06,7.565,
0.08,7.679,
0.1,7.789,
0.12,7.707,
0.14,7.567,
0.16,7.45,
0.18,7.348,
0.2,7.255,
0.22,7.172,
0.24,7.089,
0.26,7.027,
0.28,6.965,
0.3,6.904,
0.32,6.854,
0.34,6.803,
0.36,6.754,
0.38,6.696,
0.4,6.662,
0.42,6.632,
0.44,6.573,
0.46,6.542,
0.48,6.511,
0.5,6.469,
0.52,6.424,
0.54,6.386,
0.56,6.342,
0.58,6.301,
0.6,6.257,
0.62,6.222,
0.64,6.155,
0.66,6.111,
0.68,6.007,
0.7000000000000001,6.07,
0.72,6.014,
0.74,5.96,
0.76,5.901,
0.78,5.835,
0.8,5.771,
0.8200000000000001,5.695,
0.84,5.61,
0.86,5.51,
0.88,5.363,
0.9,5.3,
0.92,5.151,
0.9400000000000001,4.931,
0.96,4.809,
0.98,4.549,
1.0,4.306,
1.02,4.124,
1.04,3.986,
1.06,3.878,
1.08,3.791,
1.1,3.714,
1.12,3.65,
1.1400000000000001,3.595,
1.16,3.561,
1.18,3.518,
1.2,3.471,
1.22,3.441,
