Volume (ml),pH,sampvol
0.02,6.618,51.238
0.04,6.583,
0.06,6.551,
0.08,6.507,
0.1,6.482,
0.12,6.461,
0.14,6.437,
0.16,6.414,
0.18,6.378,
0.2,6.368,
0.22,6.337,
0.24,6.304,
0.26,6.271,
0.28,6.238,
0.3,6.206,
0.32,6.171,
0.34,6.134,
0.36,6.098,
0.38,6.084,
0.4,6.046,
0.42,6.033,
0.44,5.993,
0.46,5.948,
0.48,5.907,
0.5,5.863,
0.52,5.817,
0.54,5.767,
0.56,5.71,
0.58,5.649,
0.6,5.589,
0.62,5.558,
0.64,5.479,
0.66,5.427,
0.68,5.361,
0.7000000000000001,5.264,
0.72,5.155,
0.74,5.033,
0.76,4.898,
0.78,4.755,
0.8,4.611,
0.8200000000000001,4.467,
0.84,4.334,
0.86,4.224,
0.88,4.129,
0.9,4.046,
0.92,3.992,
0.9400000000000001,3.904,
0.96,3.826,
0.98,3.756,
1.0,3.692,
1.02,3.634,
1.04,3.585,
1.06,3.537,
1.08,3.493,
1.1,3.456,
1.12,3.437,
1.1400000000000001,3.408,
1.16,3.382,
1.18,3.35,
1.2,3.32,
