Volume (ml),pH,sampvol
0.02,7.321,50.335
0.04,7.249,
0.06,7.179,
0.08,7.112,
0.1,7.053,
0.12,6.993,
0.14,6.939,
0.16,6.887,
0.18,6.835,
0.2,6.787,
0.22,6.736,
0.24,6.692,
0.26,6.651,
0.28,6.607,
0.3,6.56,
0.32,6.548,
0.34,6.507,
0.36,6.469,
0.38,6.424,
0.4,6.384,
0.42,6.342,
0.44,6.297,
0.46,6.256,
0.48,6.211,
0.5,6.17,
0.52,6.118,
0.54,6.075,
0.56,6.043,
0.58,5.991,
0.6,5.932,
0.62,5.899,
0.64,5.838,
0.66,5.77,
0.68,5.693,
0.7000000000000001,5.604,
0.72,5.506,
0.74,5.391,
0.76,5.238,
0.78,5.056,
0.8,4.804,
0.8200000000000001,4.636,
0.84,4.426,
0.86,4.296,
0.88,4.115,
0.9,3.977,
0.92,3.87,
0.9400000000000001,3.781,
0.96,3.705,
0.98,3.635,
1.0,3.579,
1.02,3.528,
1.04,3.504,
1.06,3.46,
1.08,3.428,
1.1,3.4,
