"pH","sampconc"
6.31,2.07866734614033
6.57,1.93445246536944
6.8,1.1989565734379
7.15,0.723047466893968
7.32,0.665361514585613
8.1,0.131766455733322
6.98,0.449039193429279
7.65,0.319245800735478
8.3,0.146187943810411
7.74,0.275981336504212
6.502,1.94573565967505
6.981,1.74592236314661
6.41,1.35164791196102
6.9,1.00375869032668
7.561,0.704038745534015
6.85,1.01803106865014
7.04,1.0269513051023
8.275,-0.118407055355379
9.005,-0.264698933170846
10.63,1.3177510134428
5.85,2.38941123453871
6.55,1.43840432796677
6.3,1.60379683345754
6.67,1.2316636961033
6.86,0.962900874680794
7.11,0.487397421394822
7.33,0.404701168649436
7.54,0.342678979090396
7.74,0.0945902208542364
7.9,-0.153498537381923
6.44,1.311424246
7.31,0.938756602
8.98,0.168576805
7.48,0.665466997
7.33,0.826956309
7.16,0.764845035
7.14,1.646825126
7.08,0.764845035
6.41,1.68409189
9.14,0.081621021

